search_id,street_no,street_dir,street,street_typ,unit_no,zip,results_num,possible_matches_num
291,949,SE,MARION,ST,,97202,2,2
292,2245,SW,PARK,PL,8D,97205,38,1
293,1310,NW,NAITO,PKWY,701,97209,106,1
294,20104,NE,Thompson,,,97204,1,0
295,333,NW,9TH,AVE,1323,97209,150,0
296,1304,SE,ASH,ST,E,97214,10,1
297,1410,NW,KEARNEY ST,,522,97209,0,0
298,1575,SW,KINGS BYWAY,,,97060,0,0
299,255,SW,HARRISON,ST,22C,97201,222,1
300,1925,SE,76,,,97215,1,0
301,2020,SW,MARKET STREET,DR,302,97201,20,1
302,4726,N,HUNT,ST,,97203,0,0
303,2430,NW,WESTOVER,RD,101,97210,6,0
304,3601,SW,River,PKWY,2602,97239,314,1
305,915,SE,35TH,AVE,207,97214,28,1
306,133,NW,18TH,AVE,#3,97209,11,0
307,9532,N,WILLAMETTE,BLVD,,97203,0,0
308,133,NW,18TH,AVE,7,97201,11,0
309,630,NE,MONROE,ST,6,97212,7,1
310,707,N,HAYDEN ISLAND,DR,206,97217,90,0
311,1244,SE,Rhine,ST,,97202,1,1
312,1188,SW,IVORY,LOOP,2,97080,1,1
313,4402,SE,131st,PL,,97236,1,1
314,5938,SW,RIVERIDGE,LN,12,97239,1,1
315,1926,W,Burnside,,1502,97209,265,1
316,1730,SW,HARBOR,WAY,604,97201,34,1
317,520,NE,SACRAMENTO,ST,,97212,2,2
318,2716,SE,CLINTON,ST,,97202,3,3
319,20696,NE,Shore View,DR,,97024,1,1
320,949,NW,Overton,,504,97209,184,1
321,14981,SE,GRANT,CT,50D,97233,1,0
322,13439,SE,FOSTER,RD,,97236,2,2
323,5715,NE,SACRAMENTO,ST,8,97213,16,1
324,508,NE,SACRAMENTO,ST,,97212,2,2
325,4770,N,DEPAUW,ST,,97203,0,0
326,7352,SE,HENDERSON,ST,,97206,2,2
327,6423,SE,87TH,AVE,,97266,0,0
328,900,NE,FRANCIS,AVE,20,97030,165,1
329,4726,SE,TAYLOR,ST,,97215,0,0
330,1441,SW,CLAY,ST,205,97201,33,1
331,1942,NW,OVERTON,ST,9,97209,1,1
332,21485,,Blossom Hill 149D,,149-D,97024,0,0
333,333,NW,9th,AVE,1405,97209,185,1
334,2200,NE,201ST,AVE,1,97024,12,6
335,2211,SW,1ST,AVE,803,97201,97,1
336,4602,NE,26th,AVE,B,97211,0,0
337,344,NE,MORGAN,ST,,97211,1,1
338,2425,SW,19TH,AVE,,97201,14,14
339,217,NE,146TH,AVE,24,97230,46,1
340,7581,N,EDGEWATER,AVE,,97203,1,0
